/tsm_fpool,3.7T,2.3T,1.4T,64%,TSM_OPBHE
/tsm_archivelog,838G,546G,292G,66%,TSM_OPBHE
/tsm_backup_db,559G,130G,430G,24%,TSM_OPBHE
/tsm_fpool_copia,8.1T,7.3T,874G,90%,TSM_OPBHE
/tsm_db,559G,71G,489G,13%,TSM_OPBHE
/tsm_activelog,559G,33G,526G,6%,TSM_OPBHE
/tsm_archivelog,300G,300M,300G,1%,TSM_OPBLM
/tsm_activelog,300G,30G,271G,10%,TSM_OPBLM
/tsm_fpool_copia,5.7T,4.8T,945G,84%,TSM_OPBLM
/tsm_db,300G,184G,117G,62%,TSM_OPBLM
/tsm_fpool,2.5T,1011G,1.5T,41%,TSM_OPBLM
/tsm_fpool,3.0T,2.5T,553G,82%,TSM_OPBSA
/tsm_fpool_copia,4.7T,4.5T,159G,97%,TSM_OPBSA
/tsm_fpool_disco,5.0T,1.4G,5.0T,1%,TSM_OPBSA
/tsm_backup_db,300G,33M,300G,1%,TSM_OPBSA
/tsm_db,300G,257G,44G,86%,TSM_OPBSA
/tsm_activelog,50G,30G,21G,59%,TSM_OPBSA
/tsm_archivelog,150G,794M,150G,1%,TSM_OPBSA
/tsm_db,300G,17G,283G,6%,TSM_OPCTA
/tsm_archivelog,150G,138M,150G,1%,TSM_OPCTA
/tsm_backup_db,300G,48G,253G,16%,TSM_OPCTA
/tsm_fpool,700G,453G,248G,65%,TSM_OPCTA
/tsm_activelog,50G,30G,21G,59%,TSM_OPCTA
/tsm_fpool_copia,2.0T,695G,1.3T,35%,TSM_OPCTA
/tsm_activelog,50G,33G,18G,65%,TSM_OPFLA
/tsm_archivelog,150G,86M,150G,1%,TSM_OPFLA
/tsm_backup_db,300G,46G,255G,16%,TSM_OPFLA
/tsm_fpool,1.4T,396G,1005G,29%,TSM_OPFLA
/tsm_db,300G,28G,273G,10%,TSM_OPFLA
/tsm_fpool_copia,4.0T,1.9T,2.1T,47%,TSM_OPFLA
/tsm_fpool,525G,207G,318G,40%,TSM_OPFNS
/tsm_fpool_copia,1.3T,861G,460G,66%,TSM_OPFNS
/tsm_backup_db,200G,52G,149G,26%,TSM_OPFNS
/tsm_activelog,50G,49G,1.3G,98%,TSM_OPFNS
/tsm_archivelog,150G,713M,150G,1%,TSM_OPFNS
/tsm_db,200G,11G,190G,6%,TSM_OPFNS
/tsm_db,300G,71G,230G,24%,TSM_OPPAE
/tsm_archivelog,150G,51G,100G,34%,TSM_OPPAE
/tsm_activelog,50G,32G,19G,63%,TSM_OPPAE
/tsm_fpool_copia,7.0T,5.5T,1.6T,79%,TSM_OPPAE
/tsm_fpool,1.7T,1.1T,673G,62%,TSM_OPPAE
/tsm_backup_db,200G,160G,41G,80%,TSM_OPPAE
/tsm_fpool,3.0T,1.1T,2.0T,36%,TSM_OPRCE
/tsm_db,300G,84G,217G,28%,TSM_OPRCE
/tsm_archivelog,300G,2.2G,298G,1%,TSM_OPRCE
/tsm_activelog,100G,46G,55G,46%,TSM_OPRCE
/tsm_fpool_copia,9.6T,6.1T,3.6T,63%,TSM_OPRCE
/tsm_backup_db,300G,200G,101G,67%,TSM_OPRCE
/tsm_archivelog,150G,2.9G,148G,2%,TSM_OPRJO
/tsm_activelog,50G,32G,19G,63%,TSM_OPRJO
/tsm_db,300G,99G,202G,33%,TSM_OPRJO
/tsm_backup_db,1.0T,246G,778G,24%,TSM_OPRJO
/tsm_fpool_copia,15T,6.1T,9.0T,41%,TSM_OPRJO
/tsm_fpool,7.0T,1.1T,6.0T,16%,TSM_OPRJO
/tsm_backup_db,300G,172G,129G,58%,TSM_OPSDR
/tsm_fpool_copia,6.0T,5.9T,112G,99%,TSM_OPSDR
/tsm_fpool,1.5T,1.3T,260G,83%,TSM_OPSDR
/tsm_activelog,50G,32G,18G,64%,TSM_OPSDR
/tsm_db,300G,90G,211G,30%,TSM_OPSDR
/tsm_archivelog,150G,2.5G,148G,2%,TSM_OPSDR
/tsm_activelog,50G,30G,21G,59%,TSM_OPSPO
/tsm_archivelog,150G,900M,150G,1%,TSM_OPSPO
/tsm_backup_db,500G,184G,317G,37%,TSM_OPSPO
/tsm_fpool_disco,5.0T,35M,5.0T,1%,TSM_OPSPO
/tsm_fpool,2.0T,1.1T,974G,53%,TSM_OPSPO
/tsm_db,200G,96G,105G,48%,TSM_OPSPO
